#,CVE_ENTIDAD,ENTIDAD,CU_MUNICIPIO,MUNICIPIO,DF,DL,SECCION,LISTA_NOMINAL,VOTOS_EMITIDOS,PARTICIPACION,ABSTENCION,1ER_LUGAR,1ERO_VOTOS,PCN,DIF_VOTOS_2DO,DIF_PCN_2DO,2DO_LUGAR,2DO_VOTOS,PCN,DIF_VOTOS_3RO,DIF_PCN_3RO,3ER_LUGAR,3RO_VOTOS,PCN,1PP_MV,VOTOS,PCN,DIF_2DO,PCN,2PP_MV,VOTOS,PCN,DIF_3RO,PCN,3PP_MV,VOTOS,PCN,PAN,PCN,PRI,PCN,PRD,PCN,PVEM,PCN,PT,PCN,MC,PCN,NA,PCN,MORENA,PCN,ES,PCN,CQ,PCN,QI,PCN,MORENA-PT-PES,PCN,P_MORENA-PT,PCN,P_MORENA-PES,PCN,P_PT-PES,PCN,PRI-PVEM,PCN,CC_PAN-PRD-MC,PCN,P_PAN-PRD,PCN,P_PAN-MC,PCN,P_PRD-MC,PCN,CC2_PAN-PRD,PCN,OSM,PCN,JAAG,PCN,PTVF,PCN,ERA,PCN,NSS,PCN,MFELF,PCN,EHR,PCN,CNR,PCN,NULOS,PCN,TOT_VOTOS,VALIDACION
11,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,11,"1,397",995,0.71,0.29,PAN,511,0.51,291,0.29,PRI,220,0.22,146,0.15,MORENA,74,0.07,PAN,511,0.51,291,0.29,PRI,220,0.22,146,0.15,MORENA,74,0.12,511,0.51,220,0.22,5,0.01,33,0.03,20,0.02,13,0.01,29,0.03,74,0.07,2,0.00,5,0,23,0.02,0,0.00,1,0.00,0,0.00,1,0.00,17,0.02,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,41,0.04,994,100.00%
12,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,12,832,604,0.73,0.27,PAN,242,0.40,33,0.05,PRI,209,0.35,177,0.29,MORENA,32,0.05,PAN,242,0.40,33,0.05,PRI,209,0.35,177,0.29,MORENA,32,0.03,242,0.40,209,0.35,9,0.01,14,0.02,13,0.02,4,0.01,3,0.00,32,0.05,12,0.02,2,0,7,0.01,4,0.01,0,0.00,0,0.00,0,0.00,20,0.03,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,1,0.00,32,0.05,604,100.00%
13,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,13,"1,645","1,153",0.70,0.30,PAN,617,0.54,331,0.29,PRI,286,0.25,214,0.19,MORENA,72,0.06,PAN,617,0.54,331,0.29,PRI,286,0.25,214,0.19,MORENA,72,0.12,617,0.54,286,0.25,16,0.01,26,0.02,3,0.00,12,0.01,8,0.01,72,0.06,12,0.01,13,0,23,0.02,2,0.00,1,0.00,1,0.00,2,0.00,14,0.01,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,45,0.04,"1,152",100.00%
14,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,14,"2,329","1,555",0.67,0.33,PAN,677,0.44,242,0.16,PRI,435,0.28,324,0.21,MORENA,111,0.07,PAN,677,0.44,242,0.16,PRI,435,0.28,324,0.21,MORENA,111,0.10,677,0.44,435,0.28,18,0.01,28,0.02,13,0.01,11,0.01,44,0.03,111,0.07,34,0.02,14,0,22,0.01,11,0.01,0,0.00,3,0.00,0,0.00,51,0.03,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,83,0.05,"1,555",100.00%
15,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,15,"1,967","1,283",0.65,0.35,PAN,518,0.40,165,0.13,PRI,353,0.28,232,0.18,NULOS,121,0.09,PAN,518,0.40,165,0.13,PRI,353,0.28,232,0.18,NULOS,121,0.08,518,0.40,353,0.28,17,0.01,36,0.03,18,0.01,12,0.01,16,0.01,114,0.09,20,0.02,2,0,13,0.01,8,0.01,0,0.00,4,0.00,1,0.00,29,0.02,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,1,0.00,121,0.09,"1,283",100.00%
16,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,16,"1,067",733,0.69,0.31,PAN,440,0.60,296,0.40,PRI,144,0.20,102,0.14,NULOS,42,0.06,PAN,440,0.60,296,0.40,PRI,144,0.20,102,0.14,NULOS,42,0.03,440,0.60,144,0.20,7,0.01,20,0.03,8,0.01,3,0.00,10,0.01,38,0.05,4,0.01,1,0,10,0.01,0,0.00,3,0.00,1,0.00,0,0.00,2,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,42,0.06,730,100.00%
17,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,17,"1,421",976,0.69,0.31,PAN,483,0.49,213,0.22,PRI,270,0.28,206,0.21,MORENA,64,0.07,PAN,483,0.49,213,0.22,PRI,270,0.28,206,0.21,MORENA,64,0.09,483,0.49,270,0.28,6,0.01,28,0.03,6,0.01,13,0.01,17,0.02,64,0.07,6,0.01,2,0,10,0.01,3,0.00,0,0.00,0,0.00,0,0.00,18,0.02,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,50,0.05,976,100.00%
18,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,18,661,460,0.70,0.30,PAN,214,0.47,64,0.14,PRI,150,0.33,130,0.28,PVEM,20,0.04,PAN,214,0.47,64,0.14,PRI,150,0.33,130,0.28,PVEM,20,0.02,214,0.47,150,0.33,4,0.01,20,0.04,2,0.00,3,0.01,4,0.01,16,0.03,3,0.01,4,0,3,0.01,2,0.00,1,0.00,2,0.00,0,0.00,12,0.03,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,20,0.04,459,100.00%
19,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,19,"3,576","2,340",0.65,0.35,PAN,"1,028",0.44,397,0.17,PRI,631,0.27,419,0.18,MORENA,212,0.09,PAN,"1,028",0.44,397,0.17,PRI,631,0.27,419,0.18,MORENA,212,0.46,"1,028",0.44,631,0.27,33,0.01,46,0.02,24,0.01,13,0.01,34,0.01,212,0.09,36,0.02,4,0,24,0.01,11,0.00,2,0.00,2,0.00,2,0.00,44,0.02,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,194,0.08,"2,338",100.00%
20,22,QUERETARO,1,AMEALCO DE BONFIL,2,8,20,794,572,0.72,0.28,PAN,313,0.55,182,0.32,PRI,131,0.23,81,0.14,MORENA,50,0.09,PAN,313,0.55,182,0.32,PRI,131,0.23,81,0.14,MORENA,50,0.02,313,0.55,131,0.23,2,0.00,10,0.02,6,0.01,6,0.01,12,0.02,50,0.09,2,0.00,3,0,1,0.00,2,0.00,0,0.00,0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0.00,0,0.00,0,0.00,33,0.06,572,100.00%
