#,CVE_ENTIDAD,ENTIDAD,CU_MUNICIPIO,MUNICIPIO,DF,DL,SECCION,LISTA_NOMINAL,VOTOS_EMITIDOS,PARTICIPACION,ABSTENCION,1ER_LUGAR,1ERO_VOTOS,PCN,DIF_VOTOS_2DO,DIF_PCN_2DO,2DO_LUGAR,2DO_VOTOS,PCN,DIF_VOTOS_3RO,DIF_PCN_3RO,3ER_LUGAR,3RO_VOTOS,PCN,1PP_MV,VOTOS,PCN,DIF_2DO,PCN,2PP_MV,VOTOS,PCN,DIF_3RO,PCN,3PP_MV,VOTOS,PCN,PAN,PCN,PRI,PCN,PRD,PCN,MC,PCN,PVEM,PCN,MORENA,PCN,PT,PCN,QI,PCN,PES,PCN,RSP,PCN,FM,PCN,EAMA,PCN,ASE,PCN,PAN_QI,PCN,PRI_PVEM,PCN,PVEM-PT,PCN,CNR,PCN,NULOS,PCN,TOT_VOTOS,VALIDACION
12,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,12,881,566,0.64,0.36,PRI,206,0.36,27,0.05,MORENA,179,0.32,56,0.10,PAN,123,0.22,PRI,206,0.36,27,0.05,MORENA,179,0.32,56,0.10,PAN,123,0.13,123,0.22,206,0.36,8,0.01,1,0.00,11,0.02,179,0.32,1,0.00,3,0.01,2,0.00,5,0.01,5,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,22,0.04,566,100.00%
13,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,13,"1,762","1,037",0.59,0.41,PRI,376,0.36,13,0.01,PAN,363,0.35,162,0.16,MORENA,201,0.19,PRI,376,0.36,13,0.01,PAN,363,0.35,162,0.16,MORENA,201,0.36,363,0.35,376,0.36,5,0.00,13,0.01,22,0.02,201,0.19,2,0.00,9,0.01,8,0.01,13,0.01,8,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,17,0.02,"1,037",100.00%
14,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,14,"2,548","1,539",0.60,0.40,PRI,604,0.39,31,0.02,PAN,573,0.37,396,0.26,MORENA,177,0.12,PRI,604,0.39,31,0.02,PAN,573,0.37,396,0.26,MORENA,177,0.17,573,0.37,604,0.39,15,0.01,39,0.03,34,0.02,177,0.12,6,0.00,1,0.00,5,0.00,16,0.01,16,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,53,0.03,"1,539",100.00%
15,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,15,"2,256","1,329",0.59,0.41,MORENA,555,0.42,260,0.20,PRI,295,0.22,18,0.01,PAN,277,0.21,MORENA,555,0.42,260,0.20,PRI,295,0.22,18,0.01,PAN,277,0.18,277,0.21,295,0.22,7,0.01,12,0.01,34,0.03,555,0.42,7,0.01,6,0.00,20,0.02,29,0.02,6,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,81,0.06,"1,329",100.00%
16,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,16,"1,122",709,0.63,0.37,PAN,305,0.43,94,0.13,PRI,211,0.30,102,0.14,MORENA,109,0.15,PAN,305,0.43,94,0.13,PRI,211,0.30,102,0.14,MORENA,109,0.08,305,0.43,211,0.30,6,0.01,12,0.02,33,0.05,109,0.15,3,0.00,1,0.00,3,0.00,3,0.00,3,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,20,0.03,709,100.00%
17,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,17,"1,569",935,0.60,0.40,PRI,400,0.43,134,0.14,PAN,266,0.28,101,0.11,MORENA,165,0.18,PRI,400,0.43,134,0.14,PAN,266,0.28,101,0.11,MORENA,165,0.23,266,0.28,400,0.43,5,0.01,16,0.02,23,0.02,165,0.18,10,0.01,2,0.00,2,0.00,6,0.01,12,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,28,0.03,935,100.00%
18,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,18,730,446,0.61,0.39,PRI,195,0.44,52,0.12,PAN,143,0.32,92,0.21,MORENA,51,0.11,PRI,195,0.44,52,0.12,PAN,143,0.32,92,0.21,MORENA,51,0.05,143,0.32,195,0.44,3,0.01,5,0.01,7,0.02,51,0.11,2,0.00,0,0.00,1,0.00,13,0.03,3,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,23,0.05,446,100.00%
19,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,20,833,541,0.65,0.35,PAN,229,0.42,85,0.16,PRI,144,0.27,42,0.08,MORENA,102,0.19,PAN,229,0.42,85,0.16,PRI,144,0.27,42,0.08,MORENA,102,0.23,229,0.42,144,0.27,3,0.01,10,0.02,12,0.02,102,0.19,6,0.01,0,0.00,6,0.01,6,0.01,3,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,20,0.04,541,100.00%
20,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,21,651,400,0.61,0.39,PRI,163,0.41,62,0.16,MORENA,101,0.25,15,0.04,PAN,86,0.22,PRI,163,0.41,62,0.16,MORENA,101,0.25,15,0.04,PAN,86,0.16,86,0.22,163,0.41,6,0.02,11,0.03,6,0.02,101,0.25,2,0.01,0,0.00,1,0.00,4,0.01,2,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,18,0.05,400,100.00%
21,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,22,"2,100","1,234",0.59,0.41,MORENA,565,0.46,285,0.23,PAN,280,0.23,57,0.05,PRI,223,0.18,MORENA,565,0.46,285,0.23,PAN,280,0.23,57,0.05,PRI,223,0.56,280,0.23,223,0.18,8,0.01,22,0.02,28,0.02,565,0.46,16,0.01,5,0.00,11,0.01,10,0.01,21,0.02,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,45,0.04,"1,234",100.00%
22,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,23,"2,078","1,305",0.63,0.37,PAN,478,0.37,25,0.02,PRI,453,0.35,203,0.16,MORENA,250,0.19,PAN,478,0.37,25,0.02,PRI,453,0.35,203,0.16,MORENA,250,0.20,478,0.37,453,0.35,6,0.00,28,0.02,17,0.01,250,0.19,5,0.00,6,0.00,3,0.00,20,0.02,7,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.00,31,0.02,"1,305",100.00%
23,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,24,"2,300","1,544",0.67,0.33,PAN,533,0.35,66,0.04,PRI,467,0.30,66,0.04,MORENA,401,0.26,PAN,533,0.35,66,0.04,PRI,467,0.30,66,0.04,MORENA,401,0.31,533,0.35,467,0.30,0,0.00,13,0.01,15,0.01,401,0.26,6,0.00,3,0.00,4,0.00,24,0.02,7,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,71,0.05,"1,544",100.00%
24,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,25,"1,500",986,0.66,0.34,PAN,346,0.35,36,0.04,PRI,310,0.31,122,0.12,MORENA,188,0.19,PAN,346,0.35,36,0.04,PRI,310,0.31,122,0.12,MORENA,188,0.12,346,0.35,310,0.31,7,0.01,39,0.04,19,0.02,188,0.19,7,0.01,0,0.00,7,0.01,11,0.01,11,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.00,40,0.04,986,100.00%
25,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,26,"1,475",947,0.64,0.36,PAN,391,0.41,48,0.05,PRI,343,0.36,201,0.21,MORENA,142,0.15,PAN,391,0.41,48,0.05,PRI,343,0.36,201,0.21,MORENA,142,0.14,391,0.41,343,0.36,1,0.00,8,0.01,5,0.01,142,0.15,6,0.01,3,0.00,5,0.01,5,0.01,8,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,30,0.03,947,100.00%
26,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,27,"1,138",755,0.66,0.34,PAN,346,0.46,175,0.23,MORENA,171,0.23,3,0.00,PRI,168,0.22,PAN,346,0.46,175,0.23,MORENA,171,0.23,3,0.00,PRI,168,0.18,346,0.46,168,0.22,5,0.01,4,0.01,6,0.01,171,0.23,3,0.00,1,0.00,6,0.01,8,0.01,16,0.02,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,21,0.03,755,100.00%
27,22,QUERETARO,1,AMEALCO DE BONFIL,5,8,28,913,572,0.63,0.37,PAN,214,0.37,0,0.00,PAN,214,0.37,145,0.25,MORENA,69,0.12,PAN,214,0.37,0,0.00,PAN,214,0.37,145,0.25,MORENA,69,0.09,214,0.37,214,0.37,5,0.01,7,0.01,6,0.01,69,0.12,4,0.01,2,0.00,8,0.01,28,0.05,3,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,12,0.02,572,100.00%
